,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
288, Express Cruiser,Power,Gas,SERF7668I900,Fiberglass,Other,,41',"Alexandria Bay, NY",Sea Ray,,Twin Inboard,2000,Sea Ray,410 Express - FRESH WATER ONLY,"$127,500",2000
289," Other, Other",Power,Gas,,Other,Other,,41',"Watkins Glen, NY",Sea Ray,,Twin Inboard,1987,Sea Ray,410 Aft Cabin,"$29,995",1987
290, Cruisers,Power,Gas,,Fiberglass,Other,,41',"Kingston, NY",Sea Ray,,Single Inboard,2001,Sea Ray,Sundancer,"$80,000",2001
291," Cruisers, Motor Yachts",Power,Gas,,Fiberglass,Modified Vee,5 year,41',"Norwalk, CT",Rinker,,Twin Inboard,2005,Rinker,410 Express Cruiser,"$87,500",2005
292," Convertible Boats, Flybridge",Power,Diesel,,Fiberglass,Deep Vee,,41',"Stamford, CT",Silverton,,Twin Inboard,1999,Silverton,41 Convertible,"$110,000",1999
293," Aft Cabin, Motor Yachts, Flybridge",Power,Gas,,Fiberglass,,,41',"Long Branch, NJ",Silverton,,Twin Inboard,1991,Silverton,41 Aft Cabin w Only 500 Hrs.,"$49,500",1991
294, Motor Yachts,Power,Gas,,Fiberglass,Deep Vee,,41',"Burnt Hills, NY",Silverton,,Other,2001,Silverton,410 Sportbridge,"$99,995",2001
295," Motor Yachts, Flybridge",Power,Gas,,Fiberglass,,,41',"Kingston, NY",Silverton,,Twin Outboard,1995,Silverton,AFT CABIN,"$130,000",1995
296, Convertible Boats,Power,Gas,,Fiberglass,,,41',"Northport, NY",Silverton,,Other,2001,Silverton,Sport Bridge,"$89,900",2001
297," Cruisers, Motor Yachts",Power,Diesel,,Fiberglass,Modified Vee,,41',Mamaroneck,Carver,,Twin Inboard,2002,Carver,396 Motor Yacht,"$139,000",2002
298, Cruisers,Power,Gas,CRSKBA15A303,Fiberglass,Deep Vee,,40',"Croton On Hudson, NY",CRUISER YACHT,,Other,2003,CRUISER YACHT,3750,"$125,000",2003
299, Motor Yachts,Power,Diesel,,Fiberglass,Modified Vee,,40',"New Rochelle, NY",Tiara,,Twin Inboard,2007,Tiara,4300 Sovran,"$389,000",2007
300, Cruisers,Sails,Diesel,,Fiberglass,,,40',"Buffalo, NY",Beneteau,,Other,2011,Beneteau,40,"$187,500",2011
301," Racers, Sloop, Racers and Cruisers",Sails,Diesel,,Fiberglass,,,40',"Greenwich, CT",Beneteau,,Other,2002,Beneteau,First 40.7,"$114,900",2002
302," Racers and Cruisers, Racers",Sails,,,Fiberglass,,,40',"Rochester, NY",Beneteau,,Other,1999,Beneteau,First 40.7,"$109,500",1999
303," Unspecified, Other",Sails,Diesel,,Other,Other,,40',"Staten Island, NY",Block Island,,Single Inboard,1977,Block Island,40,"$27,500",1977
304," Cruisers, Motor Yachts",Power,Gas,,Fiberglass,Deep Vee,5 year,40',"Seaford, NY",Formula Boats,,Other,2004,Formula Boats,40 PC,"$149,990",2004
305, Sloop,Sails,Diesel,,Fiberglass,,,40',"Atlantic Highlands, NJ",Bristol,,Single Inboard,1981,Bristol,40,"$54,900",1981
306, Cruisers,Sails,Other,,Fiberglass,Other,,40',"Glenwood Landing, NY",Bristol,,Single Inboard,1972,Bristol,Sloop,"$14,950",1972
307," Yawl, Racers and Cruisers",Sails,,,Fiberglass,,,40',"City Island, NY",Bristol,,Other,1973,Bristol,Yawl,"$32,495",1973
308," Unspecified, Other",Sails,Diesel,,Other,Other,,40',"Bridgeport, CT",Bruce Roberts,,Single Inboard,1988,Bruce Roberts,40,"$7,500",1988
309, Sports Fishing Boats,Power,Diesel,CHX0015D304,Fiberglass,,,40',"Jersey City, NJ",Cabo,,Twin Inboard,2004,Cabo,40 Express,"$325,000",2004
